2018-05-31 14:22:48 10056: INFO  AnnotationMBeanExporter - Located MBean 'dataSource1': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource1,type=HikariDataSource]
2018-05-31 14:22:48 10056: INFO  Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2018-05-31 14:22:48 10056: INFO  Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2018-05-31 14:22:49 10056: INFO  NioSelectorPool - Using a shared selector for servlet write/read
2018-05-31 14:22:49 10056: INFO  TomcatEmbeddedServletContainer - Tomcat started on port(s): 8090 (http)
2018-05-31 14:22:49 10056: INFO  ProviderApplication - Started ProviderApplication in 17.009 seconds (JVM running for 19.123)
2018-05-31 14:22:56 10056: INFO  [/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-05-31 14:22:56 10056: INFO  DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-05-31 14:22:56 10056: INFO  DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 52 ms
2018-05-31 14:22:56 10056: INFO  UserServiceImpl - Hi 1
2018-05-31 14:45:50 10056: WARN  HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=23m9s826ms995µs371ns).
